namespace,id
minecraft,chest
minecraft,barrel
sophisticatedstorage,generic_chest
sophisticatedstorage,oak_chest
sophisticatedstorage,birch_chest
sophisticatedstorage,spruce_chest
sophisticatedstorage,jungle_chest
sophisticatedstorage,acacia_chest
sophisticatedstorage,dark_oak_chest
sophisticatedstorage,mangrove_chest
sophisticatedstorage,cherry_chest
sophisticatedstorage,bamboo_chest
sophisticatedstorage,crimson_chest
sophisticatedstorage,warped_chest
sophisticatedstorage,generic_barrel
sophisticatedstorage,oak_barrel
sophisticatedstorage,birch_barrel
sophisticatedstorage,spruce_barrel
sophisticatedstorage,jungle_barrel
sophisticatedstorage,acacia_barrel
sophisticatedstorage,dark_oak_barrel
sophisticatedstorage,mangrove_barrel
sophisticatedstorage,cherry_barrel
sophisticatedstorage,bamboo_barrel
sophisticatedstorage,crimson_barrel
sophisticatedstorage,warped_barrel
woodworks,oak_chest
woodworks,birch_chest
woodworks,spruce_chest
woodworks,jungle_chest
woodworks,acacia_chest
woodworks,dark_oak_chest
woodworks,mangrove_chest
woodworks,cherry_chest
woodworks,bamboo_closet
woodworks,crimson_chest
woodworks,warped_chest
